价格,面积,室,卫,所在楼层,总楼层,位置1,位置2,小区,地铁站名,地铁距离
1830.0,13.0,4,1,5,6,通州区,九棵树,翠屏南里,八通线果园站,1100
2660.0,11.0,2,1,1,6,石景山区,八宝山,鲁谷74号院,1号线八宝山站,800
1920.0,13.0,2,1,4,6,通州区,北运河西,农行家属院,6号线北运河西站,550
1840.0,9.0,3,1,7,21,大兴区,瀛海,北京城建瀛海兴悦居,8号线南段瀛海站,650
6650.0,69.0,1,1,11,12,海淀区,田村,熙湖小区,6号线田村站,1100
3980.0,54.0,1,1,20,21,通州区,物资学院路,悦澜水岸家园,6号线物资学院路站,2350
2510.0,11.0,5,2,22,27,丰台区,方庄,芳星园一区,14号线东段方庄站,600
2080.0,8.0,3,1,28,29,朝阳区,北岗子,恒大江湾,"12号线,平谷线北岗子站",800
2300.0,15.0,3,1,6,6,朝阳区,常营,连心园西区,6号线常营站,800
2210.0,12.0,4,1,19,21,朝阳区,小红门,鸿博家园二期D区,亦庄线小红门站,450
2240.0,11.0,3,1,8,26,通州区,通州北苑,通典铭居,八通线通州北苑站,450
1860.0,8.0,4,1,24,28,大兴区,生物医药基地,鑫苑鑫都汇,4号线大兴线生物医药基地站,300
2440.0,9.0,2,1,14,20,丰台区,北京南站,翠林一里,"4号线大兴线,14号线东段北京南站站",850
2530.0,12.0,3,1,2,12,朝阳区,褡裢坡,天泰苑A8区,6号线褡裢坡站,600
1530.0,17.0,4,1,5,6,房山区,长阳,天泰新景家园,房山线长阳站,1450
1790.0,8.0,2,1,7,28,通州区,高楼金,新城乐居,7号线高楼金站,450
1700.0,8.0,4,1,3,4,通州区,通州北苑,帅府园,八通线通州北苑站,800
4820.0,23.0,3,2,23,32,朝阳区,大望路,阳光100,"1号线,14号线东段大望路站",400
2130.0,12.0,2,1,3,22,通州区,梨园,园景西区,八通线梨园站,350
1550.0,8.0,3,1,5,6,通州区,梨园,站前巴黎,八通线梨园站,800
2320.0,15.0,3,1,5,6,朝阳区,常营,连心园西区,6号线常营站,800
2510.0,9.0,3,1,4,4,昌平区,回龙观,南店新村,8号线育新站,1100
1690.0,8.0,5,2,18,27,大兴区,天宫院,保利首开熙悦春天,4号线大兴线天宫院站,250
1480.0,13.0,3,1,2,6,顺义区,俸伯,港馨家园东区,15号线俸伯站,3050
1550.0,9.0,3,1,4,6,通州区,北运河东,武夷花园牡丹园,6号线北运河东站,1850
